Model,Extracted Correct Answers
claude-3-5-sonnet.json,"A, A, B, B, B, B, D, B, B, B, , B, B, C, A, B, B, A, D, B, B, B, A, B, B, C, A, B, B, B, B, B, B, B, B, C, C, C, A, B, A, B, B, B, B, B, B, C, A, B, B, B, A, B, A, A, A, C, , B, B, B, C, A, A, B, C, A, B, A, B, , C, A, B, B, B, B, A, C, B, B, A, C, B, A, A, C, B, B, B, B, C, , A, A, A, A, A, A, C, C, B, B, A, B, C, B, A, A, B, A, A, B, C, B, B, A, A, B, B, C, B, D, C, B, B, A, B, C, D, B, A, B, D, B, B, C, B, C, B, B, C, B, B, A, B, B, A, B, C, C, C, C, B, C, B, A, B, B, C, B, B, A, B, B, C, B, B, B, B, B, B, B, A, A, B, C, B, A, D, B, B, A, B, B, A, B, B, B, C, B, B, C, B, C, A, B, B, C, B, B, B, B, B, B, B, A, B, B, A, B, B, B, B, B, B, A, A, B, B, B, B, A, B, B, B, B, A, B, A, B, B, A, B, A, B, B, C, B, B, B, A, A, C, A, B, B, B, B, B, B, A, A, B, B, C, C, B, C, B, B, B, B, C, B, C, B, A, B, B, B, A, A, A, B, C, B, C, B"
codestral-22b-instruct-v0.1.json,"A, B, A, B, A, B, D, B, B, B, B, B, B, A, A, B, B, B, A, B, B, C, B, B, B, C, A, A, B, B, C, B, C, B, A, , D, A, A, B, A, C, A, A, B, B, B, C, B, B, B, B, A, B, A, A, A, C, C, B, A, B, C, B, D, C, C, A, B, , B, D, C, A, B, A, B, B, A, C, B, B, A, C, B, A, B, C, C, B, B, B, C, , A, A, , A, A, A, C, C, B, B, A, B, C, B, C, A, B, A, A, , C, B, B, A, A, B, A, C, C, A, C, B, , C, B, A, D, B, A, B, C, B, B, C, B, C, A, B, C, B, A, A, B, B, A, D, C, , C, C, B, A, B, A, B, B, C, B, B, C, B, B, C, B, B, B, B, B, B, B, A, A, B, C, C, A, B, B, B, A, A, B, A, B, A, B, , A, B, C, B, C, B, B, B, C, B, , B, B, B, B, B, A, B, , , B, C, B, A, B, D, A, A, B, A, B, B, A, , B, B, B, A, B, A, A, B, D, B, A, B, , C, A, , C, A, A, C, A, B, A, B, B, C, B, B, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, B, B, B, B, A, A, A, B, C, B, A, B"
Gemini-flash.json,"A, A, B, B, A, B, A, A, A, B, , B, B, C, A, B, B, B, A, B, B, C, B, B, B, C, , B, B, B, C, B, B, B, A, C, D, C, A, B, A, B, A, B, B, D, B, C, B, D, D, B, A, C, A, A, A, C, D, B, B, B, B, B, D, D, C, A, B, , B, , C, A, B, C, B, B, A, C, B, B, A, B, B, A, B, C, B, D, B, B, C, B, A, C, A, A, A, A, C, C, B, B, A, B, C, B, C, A, B, A, A, B, C, B, B, A, A, B, A, C, B, D, A, B, B, C, B, A, D, B, A, A, C, B, D, C, B, C, A, B, C, B, A, A, B, B, A, B, A, D, C, C, B, A, B, A, B, B, C, B, B, B, B, B, C, B, B, B, B, B, B, B, A, A, B, C, C, A, B, B, B, C, D, B, A, B, A, B, C, A, B, C, B, C, A, B, , C, B, B, B, B, A, B, B, , B, B, A, B, C, B, A, B, , C, , B, A, B, C, A, B, B, , B, A, A, A, C, B, A, B, A, B, B, C, D, B, C, A, D, C, A, B, A, B, B, C, B, A, A, B, B, , C, B, C, B, B, B, B, A, B, C, B, C, , B, A, A, A, A, B, B, B, A, B"
Gemini.json,"A, B, B, B, A, B, D, A, D, B, A, B, , C, A, B, B, B, D, B, B, , B, B, B, C, A, B, B, B, C, B, C, B, , C, D, C, A, B, A, C, B, B, B, , B, C, B, B, D, B, A, A, A, B, C, B, , B, B, B, C, B, D, B, C, A, B, , B, , C, A, B, B, B, B, A, C, B, B, A, C, B, A, C, C, C, B, B, B, C, , A, A, A, A, A, A, C, A, B, B, C, B, C, B, C, A, B, B, A, A, C, B, B, A, A, A, B, C, C, D, C, B, B, C, B, C, D, B, C, , C, B, D, C, B, C, , B, C, B, B, A, A, B, C, , A, C, C, C, B, B, B, A, B, B, C, B, B, C, B, D, C, B, B, B, B, B, B, B, A, A, B, C, D, A, D, B, B, C, B, B, A, B, A, B, C, B, B, C, B, C, B, B, , C, B, B, B, B, B, B, B, , B, B, A, B, C, B, B, B, , C, A, B, A, B, B, , A, B, , B, A, , A, C, B, , , D, B, B, C, B, B, C, A, D, C, A, B, A, B, B, C, B, A, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, C, B, B, B, , A, A, B, C, B, C, B"
gemma-2-27b-it.json,"A, A, B, B, C, B, D, A, A, B, , C, , C, A, B, B, B, C, B, B, C, B, B, B, C, A, A, B, B, C, B, C, B, A, C, D, C, A, B, A, C, A, B, B, D, A, C, B, B, C, B, A, C, A, A, C, C, D, B, B, B, C, B, D, B, C, A, B, A, B, , C, A, B, B, A, B, A, C, B, B, B, B, B, A, D, C, C, B, B, B, C, B, A, C, A, B, A, A, C, C, B, B, C, B, C, B, C, B, B, A, A, B, C, B, B, A, A, A, A, B, C, A, C, B, B, C, B, B, D, B, A, A, D, B, D, C, B, A, D, B, C, B, A, A, B, B, C, , A, C, C, C, B, D, B, A, B, B, C, B, B, B, B, B, C, B, B, B, B, B, B, B, A, A, B, C, C, A, D, B, B, C, A, B, A, B, B, B, C, A, B, C, B, C, A, B, B, C, A, B, B, B, A, A, B, A, B, B, A, B, A, B, A, B, A, A, A, B, A, , C, , B, B, A, B, A, A, A, A, B, D, B, A, B, B, C, A, B, C, A, A, C, A, C, B, B, B, C, B, A, A, B, B, C, C, C, C, B, B, B, B, C, B, C, B, A, B, B, D, A, , A, B, C, B, C, B"
gemma-2-2b-it.json,"B, B, B, B, C, B, C, B, B, B, C, D, B, B, A, B, B, B, B, B, B, C, C, B, B, C, B, C, B, B, D, B, C, B, A, C, C, D, A, B, D, C, D, B, B, D, C, C, D, B, D, B, A, B, A, B, A, C, D, B, B, B, D, C, D, C, C, B, B, A, B, C, C, A, C, C, B, B, A, C, B, B, B, C, B, A, D, C, C, B, B, B, C, B, A, C, A, D, A, A, C, D, B, B, C, B, C, B, C, B, B, A, A, D, B, C, B, C, A, C, D, B, C, D, B, B, B, C, B, C, D, B, C, C, C, B, B, C, B, A, C, A, C, B, A, A, C, B, A, D, A, B, C, C, B, D, B, C, B, B, C, B, B, C, B, D, C, B, D, B, B, B, D, B, A, A, B, C, C, A, B, B, B, B, C, B, A, B, C, B, C, D, B, C, B, C, C, B, B, C, B, B, B, B, D, D, B, C, B, B, A, B, A, B, A, B, B, C, , B, C, B, B, A, D, B, , B, A, B, A, C, B, C, C, A, B, B, D, B, B, C, A, D, C, C, C, C, B, D, C, B, A, A, B, B, C, C, C, C, D, B, B, B, A, B, C, B, C, B, B, C, B, A, A, B, B, B, C, B"
gemma-2-9b-it.json,"A, D, B, B, A, B, D, B, B, B, A, D, B, C, A, B, B, B, C, B, B, C, B, B, B, C, D, B, B, B, C, B, B, B, B, C, D, A, A, B, A, B, A, B, B, D, A, C, B, B, D, A, A, B, A, A, C, C, D, B, B, B, B, B, D, D, C, A, B, A, B, C, C, A, B, C, B, B, A, C, B, B, A, C, B, A, B, C, B, D, B, B, C, , A, A, A, B, A, A, C, C, B, B, C, B, C, B, C, B, B, B, A, A, C, B, B, A, A, C, A, C, C, D, A, B, B, C, B, B, C, B, A, A, D, B, B, C, B, A, B, B, C, B, A, A, B, B, C, B, C, C, C, C, B, D, B, A, B, B, B, B, B, B, B, B, C, B, B, A, B, B, A, B, A, A, B, C, C, A, D, B, B, A, B, B, A, B, B, B, C, A, B, C, B, C, A, B, B, C, B, B, B, B, A, B, B, B, B, B, A, B, C, B, B, B, C, C, A, B, A, B, B, A, B, B, , B, A, A, A, C, B, A, A, A, B, B, C, B, B, B, A, D, C, A, B, A, B, B, B, B, A, A, B, B, C, C, C, C, B, B, B, B, C, B, C, B, A, A, B, A, A, A, A, B, B, B, C, B"
gpt4omini_base.json,"B, B, A, B, A, B, B, A, B, B, A, B, B, C, A, B, B, B, D, B, A, B, B, B, B, C, A, A, B, B, B, B, C, B, A, C, D, A, A, B, B, B, B, A, B, C, B, C, B, B, D, B, A, B, A, A, A, C, D, B, B, B, C, B, D, B, C, A, B, A, B, B, C, A, B, B, B, B, A, C, B, B, A, C, B, A, B, C, B, B, B, B, C, B, A, A, A, B, A, A, C, D, B, B, C, A, C, B, B, B, B, A, A, B, C, A, B, A, A, C, B, , C, A, A, B, B, C, B, A, C, B, A, A, C, B, D, C, B, A, A, B, C, B, B, A, B, B, C, B, A, C, C, C, B, D, B, A, B, B, C, B, B, B, B, D, C, B, B, B, B, B, B, B, B, A, B, C, B, A, A, B, B, A, A, B, A, B, A, B, C, A, B, A, B, A, B, B, B, C, B, B, B, B, B, B, B, B, B, B, A, B, B, B, A, B, A, A, A, B, B, B, B, A, B, B, B, B, A, , A, C, B, A, B, A, B, B, C, A, B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, C, C, B, C, B, B, B, B, C, B, C, B, A, B, B, A, A, A, A, B, C, B, A, B"
gpt4omini_finetuned.json,"A, A, A, B, A, B, A, A, A, B, A, B, B, A, A, A, B, B, A, B, A, B, B, B, B, C, A, A, B, B, B, B, C, B, B, C, D, A, A, B, A, B, B, A, B, A, B, C, B, B, D, B, B, B, A, A, A, C, B, B, B, B, B, B, D, A, C, A, B, A, B, B, C, A, B, B, B, B, A, C, B, B, A, C, B, A, B, C, B, B, A, B, C, A, A, A, A, B, A, A, C, A, B, B, C, B, C, B, B, A, B, A, A, A, B, A, B, A, A, C, B, B, C, A, A, B, B, C, B, A, C, B, A, B, C, B, A, C, B, A, A, B, C, B, A, A, B, B, A, B, A, C, C, C, B, B, B, B, B, B, C, B, B, C, B, B, C, B, B, B, B, B, B, B, B, A, B, B, A, A, B, B, B, A, A, B, A, B, A, B, C, A, B, A, B, A, B, B, B, C, B, B, B, B, A, B, B, B, B, B, A, B, B, B, B, B, A, A, A, B, B, B, B, A, B, B, B, B, A, A, A, A, B, A, B, A, B, B, C, A, B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, B, B, B, A, A, A, A, B, B, B, C, B"
gpt4o_base.json,"A, A, A, B, A, B, B, B, B, B, B, B, B, C, A, A, B, B, D, B, B, B, B, B, B, C, A, A, B, B, B, B, C, B, B, C, C, A, A, B, A, B, B, A, B, A, B, C, B, B, D, B, B, B, A, A, , A, B, B, B, B, C, A, D, B, C, A, B, D, B, A, C, A, B, B, B, B, A, C, B, B, A, B, B, A, B, C, B, B, B, B, C, B, A, A, A, A, A, A, B, A, B, B, C, B, B, B, C, A, B, A, A, , C, A, B, A, A, B, B, C, B, A, A, B, B, C, B, C, D, B, B, B, D, B, A, C, B, C, A, B, C, B, B, A, A, B, A, A, A, C, C, C, B, B, B, A, B, B, C, B, B, B, B, D, C, B, B, B, B, B, B, B, B, A, B, C, C, A, A, B, B, A, B, B, A, B, A, B, C, B, B, C, B, B, B, B, B, C, B, B, B, B, A, B, B, B, B, B, A, B, B, B, B, B, B, A, A, B, B, B, C, A, B, B, B, B, A, A, A, A, B, A, B, A, B, B, C, B, B, C, A, A, C, A, B, B, B, B, C, B, A, A, B, B, C, C, B, C, B, B, B, B, A, B, C, B, A, B, B, A, A, A, A, B, C, B, A, B"
